endpoint,multitask_model,multitask_roc_auc,best_classical_roc_auc_model,best_classical_roc_auc,delta_roc_auc,multitask_average_precision,best_classical_ap_model,best_classical_average_precision,delta_average_precision,multitask_balanced_accuracy,best_classical_balanced_accuracy_model,best_classical_balanced_accuracy,delta_balanced_accuracy,multitask_brier_score,best_classical_brier_model,best_classical_brier_score,delta_brier_score
hERG,multitask_morgan_mlp,0.7928994082840237,random_forest_morgan,0.8856015779092703,-0.09270216962524658,0.8531715468791221,random_forest_morgan,0.9182724729586262,-0.06510092607950413,0.5256410256410257,logistic_rdkit_descriptors,0.7948717948717949,-0.2692307692307693,0.2300316430550631,logistic_rdkit_descriptors,0.150876252177179,0.07915539087788409
BBBP,multitask_morgan_mlp,0.7446913580246913,logistic_rdkit_descriptors,0.8730864197530864,-0.1283950617283951,0.8793767865536013,logistic_rdkit_descriptors,0.9386946055941616,-0.05931781904056033,0.6511111111111112,logistic_rdkit_descriptors,0.8366666666666667,-0.18555555555555547,0.229041410692505,random_forest_morgan,0.12903869925861,0.100002711433895
ClinTox,multitask_morgan_mlp,0.7430555555555556,random_forest_morgan,0.9375,-0.19444444444444442,0.9913491858705584,random_forest_morgan,0.998218899527152,-0.006869713656593612,0.5590277777777778,logistic_rdkit_descriptors,0.8715277777777778,-0.3125,0.2810229644700789,random_forest_morgan,0.0263288581256614,0.2546941063444175
Tox21,multitask_morgan_mlp,0.6358938547486033,logistic_rdkit_descriptors,0.7124301675977653,-0.07653631284916207,0.3152853286108801,random_forest_morgan,0.2601507574411285,0.05513457116975162,0.6269553072625699,random_forest_morgan,0.6472067039106145,-0.02025139664804465,0.1049256074061919,random_forest_morgan,0.0143355980130524,0.0905900093931395
