endpoint,model,representation,split,n_train,n_validation,n_test,accuracy,balanced_accuracy,f1,brier_score,roc_auc,average_precision,ece_10bin,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_ci95_low,average_precision_ci95_high,ad_in_domain,ad_borderline,ad_out_of_domain,mean_nearest_tanimoto,ad_in_domain_fraction,ad_borderline_fraction,ad_out_of_domain_fraction
hERG,logistic_rdkit_descriptors,descriptors,bemis_murcko_scaffold,521,65,65,0.7846153846153846,0.7948717948717949,0.8055555555555556,0.150876252177179,0.8747534516765286,0.9021946410111864,0.1169140912227591,0.7712031558185405,0.9526627218934912,0.8242493435044785,0.9696717320233088,16,34,15,0.4613784615384615,0.24615384615384617,0.5230769230769231,0.23076923076923078
hERG,random_forest_morgan,morgan_256,bemis_murcko_scaffold,521,65,65,0.7076923076923077,0.641025641025641,0.8,0.1620534587977874,0.8856015779092703,0.9182724729586262,0.1640718930417587,0.7928994082840237,0.9615384615384616,0.8500966972105548,0.9782567332529684,16,34,15,0.4613784615384615,0.24615384615384617,0.5230769230769231,0.23076923076923078
BBBP,logistic_rdkit_descriptors,descriptors,bemis_murcko_scaffold,1631,204,204,0.8382352941176471,0.8366666666666667,0.8842105263157894,0.1436002681907124,0.8730864197530864,0.9386946055941616,0.1652177237490165,0.8086327160493827,0.9265586419753084,0.9011552493803784,0.969965482375888,68,98,38,0.4953926470588236,0.3333333333333333,0.4803921568627451,0.18627450980392157
BBBP,random_forest_morgan,morgan_256,bemis_murcko_scaffold,1631,204,204,0.8235294117647058,0.6844444444444444,0.8909090909090909,0.12903869925861,0.8556790123456791,0.930112734028773,0.0537618407069836,0.7904876543209876,0.9134567901234568,0.8896935317113278,0.9655866675530134,68,98,38,0.4953926470588236,0.3333333333333333,0.4803921568627451,0.18627450980392157
ClinTox,logistic_rdkit_descriptors,descriptors,bemis_murcko_scaffold,1184,148,148,0.75,0.8715277777777778,0.852589641434263,0.1606294277405345,0.9010416666666669,0.997131068607402,0.3042606116584095,0.828125,0.9618055555555556,0.9949517306214484,0.9988780425373638,49,62,37,0.4785628378378378,0.3310810810810811,0.4189189189189189,0.25
ClinTox,random_forest_morgan,morgan_256,bemis_murcko_scaffold,1184,148,148,0.9662162162162162,0.4965277777777778,0.9828178694158076,0.0263288581256614,0.9375,0.998218899527152,0.0462651107050906,0.875,0.9826388888888888,0.9964198946286664,0.9995259400874658,49,62,37,0.4785628378378378,0.3310810810810811,0.4189189189189189,0.25
Tox21,logistic_rdkit_descriptors,descriptors,bemis_murcko_scaffold,5806,726,726,0.7534435261707989,0.6284916201117319,0.0529100529100529,0.1801175722739723,0.7124301675977653,0.075539357262862,0.3521117587245655,0.5284916201117318,0.8783868715083798,0.0241394928032794,0.2696356621863683,323,327,76,0.5636239669421488,0.44490358126721763,0.45041322314049587,0.1046831955922865
Tox21,random_forest_morgan,morgan_256,bemis_murcko_scaffold,5806,726,726,0.9848484848484848,0.6472067039106145,0.3529411764705882,0.0143355980130524,0.6581005586592179,0.2601507574411285,0.0237515501791828,0.4474144553072626,0.8441445530726257,0.0257494205604202,0.5588201048869431,323,327,76,0.5636239669421488,0.44490358126721763,0.45041322314049587,0.1046831955922865
