endpoint,epoch,train_loss,validation_loss
Tox21,1,1.3781362546014262,0.8823638955752054
Tox21,2,1.148452613052431,0.8570973351597786
Tox21,3,1.102698517042202,0.9633925557136536
Tox21,4,1.070604642341425,0.8487389981746674
Tox21,5,1.0484196448719107,0.8789555976788203
Tox21,6,1.058388577385263,0.8509514381488165
Tox21,7,1.0225217299801963,0.8643670702974001
Tox21,8,1.0210758044824495,0.8734695265690485
Tox21,9,1.0054123205143015,0.9197091609239578
Tox21,10,1.0412834597812903,0.8467529763778051
Tox21,11,1.0134362539092263,0.8446787173549334
Tox21,12,0.9827463901959932,0.7922724783420563
Tox21,13,0.969715259232364,0.8100012814005216
Tox21,14,0.9636040474032308,0.8552948410312334
Tox21,15,0.9818845689296722,0.8516797572374344
Tox21,16,0.9624054048742566,0.8054082294305166
Tox21,17,0.9453449914088616,0.8175503065188726
Tox21,18,0.954082312819722,0.802183764676253
Tox21,19,0.9467718096879812,0.8000952278574308
Tox21,20,0.9780270264043912,0.7995795384049416
Tox21,21,0.962305106304504,0.7994878689448038
Tox21,22,0.94892486340397,0.8145810986558596
Tox21,23,0.9523626850856528,0.8042721475164095
Tox21,24,0.9519822780902568,0.8038634657859802
Tox21,25,0.935378332059462,0.9076830868919692
Tox21,26,0.9539977728010534,0.8345969369014105
Tox21,27,0.9257148425657672,0.8604803929726282
hERG,1,0.5221588876512315,0.5619598776102066
hERG,2,0.4717508024639553,0.7298536598682404
hERG,3,0.4402698576450348,0.5959859192371368
hERG,4,0.4120219846566518,0.6037913113832474
hERG,5,0.4032207330067952,0.565826416015625
hERG,6,0.4205454124344719,0.3754261881113052
hERG,7,0.4117700258890788,0.526647686958313
hERG,8,0.3934566875298818,0.4831364154815674
hERG,9,0.399826983610789,0.4657703638076782
hERG,10,0.3685494214296341,0.5422487556934357
hERG,11,0.3914393815729353,0.4585560411214828
hERG,12,0.3877207868629032,0.3880327641963959
hERG,13,0.3699101871914333,0.6078497171401978
hERG,14,0.3650096936358346,0.60651695728302
hERG,15,0.3833219110965729,0.3883989602327347
hERG,16,0.3686415486865573,0.4345878213644027
hERG,17,0.4050255285369025,0.5889118015766144
hERG,18,0.3708566096093919,0.4891505390405655
hERG,19,0.3561265104346805,0.6155405938625336
hERG,20,0.3725206587049696,0.4650331735610962
hERG,21,0.3646489977836609,0.4059018492698669
BBBP,1,0.3793248511277712,0.3152549304068088
BBBP,2,0.340318405857453,0.3156569674611091
BBBP,3,0.3199570201910459,0.2814604602754116
BBBP,4,0.3109736499878076,0.2894059158861637
BBBP,5,0.3048368061964328,0.2724910676479339
BBBP,6,0.299617656148397,0.2637699283659458
BBBP,7,0.2925932086431063,0.2619336657226085
BBBP,8,0.2923354873290428,0.28178121894598
BBBP,9,0.2921493007586552,0.262633491307497
BBBP,10,0.2912190831624545,0.2655182592570781
BBBP,11,0.2806045647997122,0.2505763061344623
BBBP,12,0.2857102293234605,0.2499216552823782
BBBP,13,0.2807909880693142,0.2489846833050251
BBBP,14,0.2775740434343998,0.2464167941361665
BBBP,15,0.2780382564434638,0.2526080384850502
BBBP,16,0.2797317957648864,0.264948233962059
BBBP,17,0.2816311000631405,0.2487207762897014
BBBP,18,0.2746804878115654,0.2461067028343677
BBBP,19,0.2712901395100813,0.2470241244882345
BBBP,20,0.2706803473142477,0.2444221004843711
BBBP,21,0.271083544080074,0.2420231476426124
BBBP,22,0.2670255183027341,0.2405335772782564
BBBP,23,0.2688024932375321,0.2491133324801921
BBBP,24,0.2685966910077975,0.2555317152291536
BBBP,25,0.2621333983082037,0.2385831270366907
BBBP,26,0.2611231494408387,0.2370528299361467
BBBP,27,0.2614012847726161,0.2381335273385048
BBBP,28,0.2552327702824886,0.234567454084754
BBBP,29,0.2564041196153714,0.2416003607213497
BBBP,30,0.2589665496578583,0.2342808321118354
BBBP,31,0.2665176196740224,0.2559028910472989
BBBP,32,0.2589271200390962,0.2331942301243543
BBBP,33,0.2494455553018129,0.230695441365242
BBBP,34,0.2548328586495839,0.234701108187437
BBBP,35,0.2448509874252172,0.2337234690785408
BBBP,36,0.2515091913250776,0.2314355596899986
BBBP,37,0.243375534335008,0.2446756102144718
BBBP,38,0.2476339128154974,0.2343295067548751
BBBP,39,0.2413785526385674,0.2330848313868045
BBBP,40,0.2446786027688246,0.2295362036675214
