model,applicability_label,n,accuracy,roc_auc,average_precision,mean_uncertainty,mean_nearest_tanimoto
logistic_rdkit_descriptors,in_domain,49,0.7142857142857143,0.7916666666666666,0.9952987020959781,0.45449564430528405,0.6848612244897959
logistic_rdkit_descriptors,borderline,62,0.8225806451612904,0.9416666666666667,0.998024728907637,0.4921324560723152,0.4256758064516129
logistic_rdkit_descriptors,out_of_domain,37,0.6756756756756757,0.9166666666666666,0.9976839935173268,0.5246638112398935,0.29397837837837837
random_forest_morgan,in_domain,49,0.9591836734693877,0.9375,0.9986975397428475,0.12853385622823602,0.6848612244897959
random_forest_morgan,borderline,62,0.967741935483871,0.9083333333333333,0.9968299209108392,0.1134606710310547,0.4256758064516129
random_forest_morgan,out_of_domain,37,0.972972972972973,0.9444444444444444,0.9984776443109776,0.1525447270631392,0.29397837837837837
