bin_lower,bin_upper,count,mean_probability,event_rate
0.0,0.1,34,0.07551311737405635,0.0
0.1,0.2,153,0.15595468677523558,0.006535947712418301
0.2,0.30000000000000004,166,0.2500562706751828,0.012048192771084338
0.30000000000000004,0.4,124,0.3491919722368865,0.008064516129032258
0.4,0.5,70,0.44473371947218165,0.014285714285714285
0.5,0.6000000000000001,69,0.5436050069569679,0.0
0.6000000000000001,0.7000000000000001,38,0.6445129191975735,0.0
0.7000000000000001,0.8,26,0.7395188568249437,0.0
0.8,0.9,20,0.8556352276319737,0.2
0.9,1.0,26,0.9586033336373874,0.038461538461538464
