epoch,loss
1,9.965090274810791
2,5.756683349609375
3,3.5092491507530212
4,2.766652822494507
5,2.4912979006767273
6,2.3451420664787292
7,2.1686753034591675
8,2.0330730974674225
9,1.905712217092514
10,1.8474161326885223
11,1.7345527708530426
12,1.646924376487732
13,1.5677862465381622
14,1.5248079895973206
15,1.464258223772049
16,1.4328618049621582
17,1.3932644873857498
18,1.352202147245407
19,1.3109234869480133
20,1.2803643941879272
