endpoint,model,representation,n_test,n_positive,n_negative,positive_rate,accuracy,balanced_accuracy,f1,brier_score,roc_auc,average_precision
hERG,multitask_morgan_mlp,morgan_256,65,39,26,0.6,0.6153846153846154,0.5256410256410257,0.7524752475247525,0.23003164305506313,0.7928994082840237,0.8531715468791221
BBBP,multitask_morgan_mlp,morgan_256,204,150,54,0.7352941176470589,0.696078431372549,0.6511111111111112,0.7832167832167832,0.22904141069250508,0.7446913580246913,0.8793767865536013
ClinTox,multitask_morgan_mlp,morgan_256,148,144,4,0.972972972972973,0.14189189189189189,0.5590277777777778,0.2111801242236025,0.2810229644700789,0.7430555555555556,0.9913491858705585
Tox21,multitask_morgan_mlp,morgan_256,726,10,716,0.013774104683195593,0.9449035812672176,0.6269553072625699,0.13043478260869565,0.10492560740619196,0.6358938547486033,0.31528532861088016
