endpoint,model,accuracy_high,accuracy_low,accuracy_medium,accuracy_review,fraction_of_test_high,fraction_of_test_low,fraction_of_test_medium,fraction_of_test_review,mean_uncertainty_high,mean_uncertainty_low,mean_uncertainty_medium,mean_uncertainty_review,n_high,n_low,n_medium,n_review
BBBP,logistic_rdkit_descriptors,0.8695652173913043,0.7073170731707317,0.8627450980392157,0.8947368421052632,0.1127450980392156,0.2009803921568627,0.5,0.1862745098039215,0.1132986852031081,0.8470404539848454,0.4058724025447235,0.5493446636661619,23,41,102,38
BBBP,random_forest_morgan,0.972972972972973,0.625,0.8761061946902655,0.6052631578947368,0.1813725490196078,0.0784313725490196,0.553921568627451,0.1862745098039215,0.1436666517199763,0.8326630296697419,0.3302974346238543,0.3483806512987918,37,16,113,38
ClinTox,logistic_rdkit_descriptors,0.9411764705882352,0.5454545454545454,0.8524590163934426,0.6756756756756757,0.1148648648648648,0.2229729729729729,0.4121621621621621,0.25,0.1256590465012691,0.8790721744039919,0.3547034967473632,0.5246638112398935,17,33,61,37
ClinTox,random_forest_morgan,1.0,0.0,0.953846153846154,0.972972972972973,0.304054054054054,0.0067567567567567,0.4391891891891892,0.25,0.0823748387873192,0.9080853798223106,0.1341194989824196,0.1525447270631392,45,1,65,37
Tox21,logistic_rdkit_descriptors,0.8378378378378378,0.5606060606060606,0.8571428571428571,0.6578947368421053,0.1019283746556473,0.2727272727272727,0.5206611570247934,0.1046831955922865,0.2093592919490958,0.8474819092495194,0.4632930295395222,0.4972504106539107,74,198,378,76
Tox21,random_forest_morgan,0.9869281045751634,0.6,0.9910179640718564,1.0,0.4214876033057851,0.0137741046831955,0.4600550964187327,0.1046831955922865,0.0392122071893876,0.8581088442492616,0.0765247997329307,0.0697539628375968,306,10,334,76
hERG,logistic_rdkit_descriptors,1.0,0.6923076923076923,0.8064516129032258,0.7333333333333333,0.0923076923076923,0.2,0.4769230769230769,0.2307692307692307,0.1615117720574052,0.8545575805269772,0.4296129945723486,0.3839893813141383,6,13,31,15
hERG,random_forest_morgan,1.0,0.375,0.88,0.6,0.1384615384615384,0.2461538461538461,0.3846153846153846,0.2307692307692307,0.1705012256211268,0.8335276713877722,0.4550022800467141,0.6585718450536739,9,16,25,15
