epoch,train_loss,validation_loss
1,0.8181851266975134,0.6947865610321363
2,0.668358346945803,0.6713126558396552
3,0.5898925246487201,0.7069531182448069
4,0.5269638312534547,0.7300397488805983
5,0.44924777956076073,0.8007913587821854
6,0.37149187334826295,0.8662849383221732
7,0.31373491463526876,0.9675474589069685
8,0.2637824453938175,1.286897450685501
9,0.22373245100320224,1.4501460558838315
10,0.1906960900400726,1.3408214292592473
11,0.181517239082867,1.6134286473194759
12,0.18029521138105595,1.631753132575088
13,0.15043821185827255,1.5952537597881422
14,0.14231770128851207,1.7813263361652691
15,0.12852819085540906,1.6807852735122044
16,0.12741422926036405,1.645935319364071
17,0.12279024394884916,1.700920145544741
