model,reliability_label,n,fraction_of_test,accuracy,mean_uncertainty,mean_probability,mean_nearest_tanimoto
logistic_rdkit_descriptors,HIGH,6,0.09230769230769231,1.0,0.16151177205740527,0.9192441139712973,0.6820333333333334
logistic_rdkit_descriptors,MEDIUM,31,0.47692307692307695,0.8064516129032258,0.42961299457234864,0.5284193025361283,0.4602451612903226
logistic_rdkit_descriptors,LOW,13,0.2,0.6923076923076923,0.8545575805269772,0.4570222632681957,0.534176923076923
logistic_rdkit_descriptors,REVIEW,15,0.23076923076923078,0.7333333333333333,0.3839893813141383,0.4541592327793019,0.3123666666666666
random_forest_morgan,HIGH,9,0.13846153846153847,1.0,0.17050122562112682,0.9147493871894365,0.6915777777777776
random_forest_morgan,MEDIUM,25,0.38461538461538464,0.88,0.4550022800467141,0.6936703914188851,0.451748
random_forest_morgan,LOW,16,0.24615384615384617,0.375,0.8335276713877722,0.5469861643061139,0.4866375
random_forest_morgan,REVIEW,15,0.23076923076923078,0.6,0.6585718450536739,0.6204992629294049,0.3123666666666666
