bin_lower,bin_upper,count,mean_probability,event_rate
0.0,0.1,1,0.07,0.0
0.1,0.2,1,0.11666666666666667,0.0
0.2,0.30000000000000004,1,0.25099168266154837,0.0
0.30000000000000004,0.4,3,0.35821471434267654,0.0
0.4,0.5,3,0.4452435138645329,0.3333333333333333
0.5,0.6000000000000001,11,0.5521662729526634,0.2727272727272727
0.6000000000000001,0.7000000000000001,12,0.6439467007446664,0.4166666666666667
0.7000000000000001,0.8,12,0.7408862165574215,0.9166666666666666
0.8,0.9,16,0.8381837344360699,0.875
0.9,1.0,5,0.9365950095969291,1.0
