epoch,loss
1,7.027222633361816
2,7.003615379333496
3,6.982822418212891
4,6.960297107696533
5,6.938873767852783
6,6.917018890380859
7,6.894602298736572
8,6.873592376708984
9,6.852597236633301
10,6.830138206481934
11,6.807132720947266
12,6.785869598388672
13,6.763517379760742
14,6.740662574768066
15,6.717628002166748
16,6.694942951202393
17,6.671771049499512
18,6.648129463195801
19,6.62218713760376
20,6.596999168395996
21,6.571354389190674
22,6.544688701629639
23,6.517869472503662
24,6.490114212036133
25,6.4628586769104
26,6.431943416595459
27,6.40091609954834
28,6.37221097946167
29,6.3404927253723145
30,6.310283660888672
