"Customer_id","monetary_value","frequency","recency","RFMClass"
"434","1045","151.0","2","2"
"444","1046","374.0","1","2"
"322","1047","96.0","5","2"
"321","1048","54.0","5","2"
"443","1049","288.0","1","2"
"312","1050","124.0","6","2"
"442","1051","288.0","1","2"
"434","1052","152.0","2","2"
"111","1053","4.0","10","2"
"111","1054","2.0","15","2"
"111","1055","12.0","7","2"
"232","1056","33.0","2","2"
"334","1057","54.0","2","2"
"232","1058","50.0","2","2"
"434","1059","204.0","2","2"
"331","1060","63.0","3","2"
"332","1061","71.0","3","2"
"111","1062","2.0","52","2"
"111","1063","2.0","16","2"
"321","1064","64.0","5","2"
"232","1065","34.0","3","2"
"343","1066","82.0","1","2"
"111","1067","1.0","41","2"
"344","1068","103.0","1","2"
"133","1069","7.0","2","2"
"444","1070","251.0","1","2"
"112","1071","13.0","6","2"
"111","1072","10.0","11","2"
"444","1073","367.0","1","2"
"333","1074","76.0","2","2"
"143","1075","4.0","1","2"
"232","1076","43.0","3","2"
"334","1077","66.0","2","2"
"111","1078","1.0","63","2"
"332","1079","117.0","2","2"
"443","1080","310.0","1","2"
"343","1081","67.0","1","2"
"311","1082","138.0","6","2"
"444","1083","255.0","1","2"
"211","1084","31.0","7","2"
"332","1085","52.0","2","2"
"344","1086","64.0","1","2"
"444","1087","367.0","1","2"
"121","1088","6.0","5","2"
"444","1089","305.0","1","2"
"222","1090","29.0","4","2"
"423","1091","184.0","4","2"
"233","1092","42.0","3","2"
"222","1093","40.0","5","2"
"332","1094","56.0","3","2"
"221","1095","22.0","5","2"
"223","1096","24.0","4","2"
"233","1097","29.0","2","2"
"432","1098","302.0","3","2"
"433","1099","145.0","2","2"
"133","1100","6.0","2","2"
"232","1101","19.0","2","2"
"221","1102","33.0","5","2"
"434","1103","158.0","2","2"
"333","1104","58.0","3","2"
"244","1105","22.0","1","2"
"444","1106","359.0","1","2"
"111","1107","16.0","6","2"
"234","1108","18.0","2","2"
"443","1109","159.0","1","2"
"222","1110","25.0","4","2"
"434","1111","212.0","2","2"
"122","1112","6.0","4","2"
"444","1113","253.0","1","2"
"311","1114","59.0","9","2"
"143","1115","11.0","1","2"
"343","1116","65.0","1","2"
"222","1117","25.0","4","2"
"332","1118","92.0","3","2"
"332","1119","52.0","2","2"
"332","1120","88.0","2","2"
"331","1121","96.0","3","2"
"132","1122","9.0","2","2"
"111","1123","9.0","29","2"
"423","1124","169.0","5","2"
"344","1125","57.0","1","2"
"444","1126","326.0","1","2"
"112","1127","1.0","6","2"
"211","1128","18.0","10","2"
"433","1129","245.0","2","2"
"323","1130","58.0","4","2"
"344","1131","74.0","1","2"
"232","1132","31.0","3","2"
"131","1133","7.0","2","2"
"321","1134","123.0","4","2"
"111","1135","2.0","10","2"
"211","1136","23.0","14","2"
"323","1137","120.0","4","2"
"443","1138","358.0","1","2"
"321","1139","54.0","5","2"
"344","1140","64.0","1","2"
"344","1141","86.0","1","2"
"342","1142","55.0","1","2"
"211","1143","21.0","13","2"
"111","1144","4.0","22","2"
"112","1145","3.0","6","2"
"111","1146","1.0","9","2"
"112","1147","7.0","6","2"
"433","1148","189.0","2","2"
"344","1149","71.0","1","2"
"443","1150","204.0","1","2"
"333","1151","120.0","2","2"
"343","1152","93.0","1","2"
"111","1153","1.0","14","2"
"223","1154","27.0","4","2"
"442","1155","298.0","1","2"
"223","1156","22.0","5","2"
"221","1157","21.0","5","2"
"243","1158","50.0","1","2"
"444","1159","326.0","1","2"
"133","1160","16.0","2","2"
"432","1161","183.0","3","2"
"321","1162","72.0","5","2"
"233","1163","37.0","2","2"
"321","1164","80.0","5","2"
"311","1165","57.0","9","2"
"133","1166","4.0","3","2"
"234","1167","50.0","2","2"
"232","1168","50.0","2","2"
"333","1169","53.0","3","2"
"444","1170","352.0","1","2"
"343","1171","54.0","1","2"
"111","1172","2.0","11","2"
"213","1173","36.0","6","2"
"244","1174","23.0","1","2"
"343","1175","75.0","1","2"
"123","1176","11.0","4","2"
"432","1177","169.0","3","2"
"333","1178","58.0","2","2"
"332","1179","86.0","3","2"
"443","1180","295.0","1","2"
"333","1181","109.0","2","2"
"442","1182","264.0","1","2"
"433","1183","171.0","2","2"
"444","1184","169.0","1","2"
"244","1185","35.0","1","2"
"223","1186","23.0","4","2"
"122","1187","17.0","4","2"
"211","1188","22.0","7","2"
"333","1189","79.0","3","2"
"344","1190","65.0","1","2"
"444","1191","361.0","1","2"
"111","1192","3.0","6","2"
"122","1193","11.0","5","2"
"432","1194","176.0","3","2"
"431","1195","211.0","3","2"
"111","1196","7.0","7","2"
"133","1197","2.0","3","2"
"433","1198","154.0","2","2"
"122","1199","5.0","5","2"
"444","1200","372.0","1","2"
"333","1201","79.0","3","2"
"234","1202","21.0","2","2"
"234","1203","22.0","2","2"
"422","1204","308.0","4","2"
"444","1205","146.0","1","2"
"111","1206","7.0","20","2"
"111","1207","9.0","11","2"
"334","1208","71.0","2","2"
"444","1209","287.0","1","2"
"243","1210","49.0","1","2"
"211","1211","31.0","7","2"
"443","1212","207.0","1","2"
"134","1213","15.0","2","2"
"342","1214","73.0","1","2"
"344","1215","60.0","1","2"
"221","1216","39.0","5","2"
"211","1217","30.0","13","2"
"213","1218","27.0","6","2"
"111","1219","4.0","16","2"
"143","1220","17.0","1","2"
"211","1221","20.0","9","2"
"332","1222","66.0","2","2"
"443","1223","213.0","1","2"
"112","1224","12.0","7","2"
"244","1225","30.0","1","2"
"211","1226","32.0","12","2"
"111","1227","4.0","6","2"
"112","1228","15.0","6","2"
"111","1229","10.0","15","2"
"433","1230","206.0","2","2"
"221","1231","46.0","4","2"
"333","1232","134.0","2","2"
"211","1233","43.0","7","2"
"121","1234","10.0","5","2"
"332","1235","116.0","3","2"
"432","1236","198.0","3","2"
"443","1237","278.0","1","2"
"333","1238","110.0","3","2"
"343","1239","77.0","1","2"
"342","1240","53.0","1","2"
"421","1241","154.0","5","2"
"222","1242","47.0","4","2"
"133","1243","17.0","2","2"
"433","1244","155.0","3","2"
"443","1245","225.0","1","2"
"133","1246","7.0","2","2"
"333","1247","122.0","2","2"
"344","1248","61.0","1","2"
"333","1249","63.0","2","2"
"211","1250","18.0","8","2"
"111","1251","7.0","23","2"
"111","1252","2.0","18","2"
"223","1253","22.0","4","2"
"222","1254","29.0","5","2"
"443","1255","285.0","1","2"
"434","1256","176.0","2","2"
"322","1257","78.0","4","2"
"244","1258","33.0","1","2"
"211","1259","41.0","15","2"
"444","1260","266.0","1","2"
"222","1261","27.0","4","2"
"321","1262","109.0","4","2"
"444","1263","284.0","1","2"
"112","1264","9.0","7","2"
"433","1265","277.0","2","2"
"111","1266","17.0","6","2"
"232","1267","32.0","2","2"
"111","1268","1.0","26","2"
"244","1269","20.0","1","2"
"334","1270","124.0","2","2"
"344","1271","65.0","1","2"
"342","1272","106.0","1","2"
"111","1273","1.0","29","2"
"211","1274","24.0","18","2"
"444","1275","267.0","1","2"
"111","1276","5.0","20","2"
"111","1277","10.0","12","2"
"212","1278","29.0","7","2"
"444","1279","267.0","1","2"
"333","1280","64.0","2","2"
"444","1281","320.0","1","2"
"112","1282","4.0","9","2"
"234","1283","21.0","2","2"
"132","1284","5.0","3","2"
"344","1285","129.0","1","2"
"223","1286","41.0","5","2"
"312","1287","102.0","6","2"
"343","1288","125.0","1","2"
"244","1289","33.0","1","2"
"422","1290","267.0","4","2"
"444","1291","365.0","1","2"
"112","1292","4.0","9","2"
"111","1293","2.0","19","2"
"134","1294","3.0","2","2"
"111","1295","10.0","14","2"
"344","1296","57.0","1","2"
"444","1297","325.0","1","2"
"111","1298","8.0","17","2"
"143","1299","12.0","1","2"
"111","1300","4.0","34","2"
"244","1301","37.0","1","2"
"111","1302","16.0","12","2"
"344","1303","138.0","1","2"
"311","1304","74.0","6","2"
"112","1305","5.0","8","2"
"434","1306","155.0","2","2"
"332","1307","85.0","2","2"
"311","1308","52.0","8","2"
"233","1309","31.0","3","2"
"234","1310","23.0","2","2"
"111","1311","4.0","13","2"
"122","1312","14.0","5","2"
"211","1313","23.0","12","2"
"112","1314","4.0","8","2"
"433","1315","274.0","2","2"
