epoch,loss,classification_loss,regression_loss
1,6.996454238891602,0.7345378994941711,313.0958251953125
2,6.985965728759766,0.7328529357910156,312.6556396484375
3,6.975373268127441,0.7308922410011292,312.22406005859375
4,6.964444160461426,0.7289985418319702,311.77227783203125
5,6.95442008972168,0.7271972894668579,311.36114501953125
6,6.944729328155518,0.7257387042045593,310.9495544433594
7,6.935018539428711,0.7240274548530579,310.549560546875
8,6.925622940063477,0.7226954102516174,310.1463928222656
9,6.915945053100586,0.7212507724761963,309.7347412109375
10,6.9062323570251465,0.7198718190193176,309.3180236816406
11,6.896781921386719,0.7187115550041199,308.9035339355469
12,6.8859357833862305,0.7172097563743591,308.4363098144531
13,6.875768661499023,0.7158505320549011,307.99591064453125
14,6.865782737731934,0.7145073413848877,307.56378173828125
15,6.8543877601623535,0.713040292263031,307.0673828125
16,6.842865467071533,0.711645245552063,306.56103515625
17,6.831305503845215,0.7103389501571655,306.04833984375
18,6.818249702453613,0.7088214755058289,305.471435546875
19,6.804502487182617,0.7072288990020752,304.86370849609375
20,6.790785312652588,0.7058100700378418,304.248779296875
21,6.775066375732422,0.7043387293815613,303.5364074707031
22,6.757302284240723,0.7024438977241516,302.742919921875
23,6.7379045486450195,0.7004008889198303,301.87518310546875
24,6.7156982421875,0.6980754137039185,300.88116455078125
25,6.690986156463623,0.6954326033592224,299.7776794433594
26,6.6608967781066895,0.6922841668128967,298.4306335449219
27,6.626487731933594,0.6882774829864502,296.9105224609375
28,6.587913990020752,0.6848157048225403,295.1549072265625
29,6.541861057281494,0.6802929639816284,293.0783996582031
30,6.486591339111328,0.6742523312568665,290.616943359375
31,6.420677185058594,0.6679742336273193,287.6351623535156
32,6.348903656005859,0.6611729860305786,284.38653564453125
33,6.259018898010254,0.653467059135437,280.277587890625
34,6.153132915496826,0.6445747017860413,275.42791748046875
35,6.0343708992004395,0.636247456073761,269.9061584472656
36,5.896038055419922,0.6262387037277222,263.4899597167969
37,5.742000102996826,0.6189774870872498,256.151123046875
38,5.578949928283691,0.6142217516899109,248.23643493652344
39,5.3931884765625,0.6088488698005676,239.21697998046875
40,5.220058917999268,0.6156231164932251,230.2218017578125
