,precision,recall,f1-score,support
0.0,0.7088461538461538,1.0,0.829619626378573,1843.0
1.0,0.0,0.0,0.0,757.0
accuracy,0.7088461538461538,0.7088461538461538,0.7088461538461538,0.7088461538461538
macro avg,0.3544230769230769,0.5,0.4148098131892865,2600.0
weighted avg,0.5024628698224852,0.7088461538461538,0.5880726813137346,2600.0
