model,applicability_label,n,accuracy,roc_auc,average_precision,mean_uncertainty,mean_nearest_tanimoto
logistic_rdkit_descriptors,in_domain,323,0.8080495356037152,0.7409584086799277,0.08549212197244581,0.48503686488897285,0.7467195046439628
logistic_rdkit_descriptors,borderline,327,0.7217125382262997,0.73559670781893,0.1664417453891138,0.6169781756649514,0.4447923547400612
logistic_rdkit_descriptors,out_of_domain,76,0.6578947368421053,,,0.49725041065391073,0.2967565789473684
random_forest_morgan,in_domain,323,0.9752321981424149,0.7685352622061483,0.37225714811120225,0.07520962871820946,0.7467195046439628
random_forest_morgan,borderline,327,0.9908256880733946,0.5087448559670782,0.02312399196595146,0.06680916476227046,0.4447923547400612
random_forest_morgan,out_of_domain,76,1.0,,,0.06975396283759686,0.2967565789473684
