bin_lower,bin_upper,count,mean_probability,event_rate
0.0,0.1,2,0.08250628497834059,0.0
0.1,0.2,7,0.1630903359707124,0.0
0.2,0.30000000000000004,5,0.27002933895152637,0.0
0.30000000000000004,0.4,3,0.3626220143515522,0.3333333333333333
0.4,0.5,7,0.4459695608580333,0.2857142857142857
0.5,0.6000000000000001,3,0.5674002331417681,0.3333333333333333
0.6000000000000001,0.7000000000000001,11,0.6533247776387197,0.45454545454545453
0.7000000000000001,0.8,41,0.7632889545392672,0.6829268292682927
0.8,0.9,62,0.8537142787858164,0.8548387096774194
0.9,1.0,63,0.9389264156537472,0.9523809523809523
