model,applicability_label,n,accuracy,roc_auc,average_precision,mean_uncertainty,mean_nearest_tanimoto
logistic_rdkit_descriptors,in_domain,68,0.8676470588235294,0.9535573122529644,0.9809083073723301,0.450846115515086,0.6829264705882352
logistic_rdkit_descriptors,borderline,98,0.7959183673469388,0.7458242556281771,0.9202764999838091,0.49057119977128666,0.4361102040816327
logistic_rdkit_descriptors,out_of_domain,38,0.8947368421052632,0.9275362318840579,0.9496077570678332,0.5493446636661619,0.3126921052631578
random_forest_morgan,in_domain,68,0.9264705882352942,0.9471343873517787,0.9610757721763155,0.31302695555112187,0.6829264705882352
random_forest_morgan,borderline,98,0.8367346938775511,0.7933914306463326,0.9318031799520448,0.35383726248341074,0.4361102040816327
random_forest_morgan,out_of_domain,38,0.6052631578947368,0.7652173913043478,0.8515351799882813,0.3483806512987918,0.3126921052631578
