model,reliability_label,n,fraction_of_test,accuracy,mean_uncertainty,mean_probability,mean_nearest_tanimoto
logistic_rdkit_descriptors,HIGH,23,0.11274509803921569,0.8695652173913043,0.11329868520310811,0.2712837834607105,0.7073695652173914
logistic_rdkit_descriptors,MEDIUM,102,0.5,0.8627450980392157,0.40587240254472357,0.6616334757775418,0.5017872549019607
logistic_rdkit_descriptors,LOW,41,0.20098039215686275,0.7073170731707317,0.8470404539848454,0.5232636197133583,0.5299024390243903
logistic_rdkit_descriptors,REVIEW,38,0.18627450980392157,0.8947368421052632,0.5493446636661619,0.5556745894222977,0.3126921052631578
random_forest_morgan,HIGH,37,0.18137254901960784,0.972972972972973,0.1436666517199763,0.840509695939472,0.6878297297297298
random_forest_morgan,MEDIUM,113,0.553921568627451,0.8761061946902655,0.33029743462385436,0.7838125527106206,0.4890991150442478
random_forest_morgan,LOW,16,0.0784313725490196,0.625,0.8326630296697419,0.5051418509159082,0.5287437500000001
random_forest_morgan,REVIEW,38,0.18627450980392157,0.6052631578947368,0.3483806512987918,0.8258096743506042,0.3126921052631578
