bin_lower,bin_upper,count,mean_probability,event_rate
0.0,0.1,25,0.03511988462615083,0.16
0.1,0.2,9,0.15645422836967404,0.2222222222222222
0.2,0.30000000000000004,9,0.2586321580061084,0.4444444444444444
0.30000000000000004,0.4,8,0.366239972994387,0.625
0.4,0.5,18,0.4447916924217179,0.5
0.5,0.6000000000000001,18,0.5547709420880981,0.8888888888888888
0.6000000000000001,0.7000000000000001,25,0.6430454303434939,0.92
0.7000000000000001,0.8,42,0.7483426945299791,0.9523809523809523
0.8,0.9,38,0.845434640321926,0.9210526315789473
0.9,1.0,12,0.9272264413294465,1.0
