epoch,loss
1,0.6711333394050598
2,0.6618767380714417
3,0.65281742811203
4,0.6442031860351562
5,0.6347934007644653
6,0.6231377720832825
7,0.6088549494743347
8,0.5926727652549744
9,0.5777126550674438
10,0.5641976594924927
11,0.5525500178337097
12,0.5531139373779297
13,0.5575923323631287
14,0.5606385469436646
15,0.5622614622116089
16,0.5573615431785583
17,0.5483822226524353
18,0.5409807562828064
19,0.5341793298721313
20,0.5306859612464905
21,0.5288862586021423
22,0.5266221761703491
23,0.5274243354797363
24,0.520916759967804
25,0.518437385559082
26,0.5109316110610962
27,0.5049784779548645
28,0.49606239795684814
29,0.48852160573005676
30,0.483462393283844
