,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,159.0
1.0,0.7456,1.0,0.854262144821265,466.0
accuracy,0.7456,0.7456,0.7456,0.7456
macro avg,0.3728,0.5,0.4271310724106325,625.0
weighted avg,0.5559193600000001,0.7456,0.6369378551787351,625.0
