bin_lower,bin_upper,count,mean_probability,event_rate
0.0,0.1,3,0.035120249033157684,1.0
0.1,0.2,5,0.15493825333576322,0.8
0.2,0.30000000000000004,5,0.23821932170172513,0.8
0.30000000000000004,0.4,7,0.34524695977511427,1.0
0.4,0.5,21,0.4545524934473624,0.9047619047619048
0.5,0.6000000000000001,14,0.5389123463803172,1.0
0.6000000000000001,0.7000000000000001,13,0.6501061480696795,1.0
0.7000000000000001,0.8,21,0.7463982670269396,1.0
0.8,0.9,25,0.8460319682245141,1.0
0.9,1.0,34,0.9445480642364472,1.0
