bin_lower,bin_upper,count,mean_probability,event_rate
0.0,0.1,6,0.03500042127124748,0.0
0.1,0.2,3,0.16855948979787164,0.0
0.2,0.30000000000000004,6,0.2523876855659948,0.16666666666666666
0.30000000000000004,0.4,12,0.3446534597740713,0.5
0.4,0.5,5,0.44965250865369955,0.6
0.5,0.6000000000000001,5,0.5386665149061193,1.0
0.6000000000000001,0.7000000000000001,2,0.6787253664986281,0.5
0.7000000000000001,0.8,6,0.7234907743287168,0.8333333333333334
0.8,0.9,13,0.8490246622797897,0.8461538461538461
0.9,1.0,7,0.9438544632159991,1.0
